source1_entity_id	matched_entity_ids
S1-990319941	S2-111737600,S2-11394413,S2-177578179,S2-181633374,S2-198325409,S2-19968634,S2-403549839,S2-413516677,S2-484781662,S2-527443581,S2-532668982,S2-574339407,S2-577921567,S2-633864546,S2-679730401,S2-696905719,S2-711424079,S2-725553497,S2-794282413,S2-831270273,S2-844349511,S2-848725981,S2-864781124,S2-941443544,S2-95835320,S2-96319076,S2-975714513,S3-100047037,S3-121016100,S3-13689002,S3-16481090,S3-169064170,S3-187612210,S3-209405752,S3-214610817,S3-220904015,S3-2218031,S3-288964719,S3-335732325,S3-341167706,S3-361720879,S3-386214852,S3-454864645,S3-4573336,S3-525707099,S3-544514618,S3-654512716,S3-706638885,S3-750301507,S3-81991970,S3-82184414,S3-829418839,S3-850817215,S3-900233530,S3-932384647,S3-974857668
S1-597762257	S2-153725054,S2-868815425,S3-310769248,S3-580434530,S3-680202781,S3-839591873
S1-661315962	
S1-716574008	
S1-985038901	
S1-404435514	S3-163265851,S3-914396266
S1-252242682	
S1-981440385	S3-345144200
S1-883973644	
S1-17666546	S2-341313901,S2-541030106,S3-144249320
S1-513115995	
S1-791217329	S2-142970038,S2-903446816
S1-602913883	S3-956365580
S1-401372098	S2-100285703,S2-122397823,S2-122810321,S2-174451654,S2-183745234,S2-194268240,S2-205646360,S2-22678665,S2-23289835,S2-240508030,S2-26535570,S2-296003172,S2-305635775,S2-335167199,S2-345391217,S2-357104008,S2-365671316,S2-375098188,S2-408602477,S2-428115412,S2-452265091,S2-459303132,S2-499674324,S2-529477340,S2-541734483,S2-557682561,S2-569365430,S2-581331975,S2-586521480,S2-587262706,S2-587950052,S2-598640045,S2-602100311,S2-635217106,S2-650265309,S2-651267711,S2-670496505,S2-677134202,S2-720027044,S2-749440255,S2-766698300,S2-810418869,S2-817909465,S2-851516848,S2-859220669,S2-863946350,S2-867203934,S2-912990960,S2-943964649,S2-970742178,S3-127224126,S3-136498779,S3-161464283,S3-171618275,S3-179101327,S3-213153004,S3-221015593,S3-223357321,S3-228021286,S3-241446156,S3-243044150,S3-243122042,S3-25724655,S3-27306623,S3-284244813,S3-304139418,S3-328040117,S3-335719013,S3-34294463,S3-34932079,S3-358107862,S3-418816843,S3-512140949,S3-526342068,S3-599391990,S3-602039910,S3-612585318,S3-622457803,S3-634338836,S3-636906427,S3-650998221,S3-656091151,S3-660323851,S3-699553957,S3-700306200,S3-733295562,S3-738704695,S3-752173175,S3-758090411,S3-75979312,S3-762802629,S3-798905858,S3-800410354,S3-831109760,S3-834024745,S3-851935540,S3-872012801,S3-896310446,S3-933027614,S3-940886259,S3-973262432,S3-978181704
S1-796227187	S2-356053713
S1-945437722	
S1-982210261	S2-240496833
S1-976369483	
S1-370715897	S2-102358424,S2-153819172,S2-154117993,S2-186914000,S2-192909287,S2-195255790,S2-201896536,S2-215992192,S2-249860017,S2-423360161,S2-453772715,S2-454850173,S2-495141679,S2-525053838,S2-542681798,S2-569617197,S2-572726464,S2-57932009,S2-586124994,S2-678989532,S2-68040299,S2-687169918,S2-713228091,S2-746424958,S2-755221441,S2-797871722,S2-812686863,S2-815866783,S2-82297332,S2-828386846,S2-85674169,S2-871940651,S2-916271842,S2-923345920,S2-959897425,S2-961738345,S3-136967610,S3-147162324,S3-188494066,S3-193926665,S3-199342798,S3-199350346,S3-200302884,S3-204513732,S3-209782942,S3-211552243,S3-242898042,S3-248548010,S3-250182190,S3-264167934,S3-274670551,S3-395332787,S3-420108120,S3-429311543,S3-460169127,S3-493341270,S3-532315051,S3-575831773,S3-639679106,S3-647703887,S3-67583124,S3-71936380,S3-808413251,S3-842243328,S3-953503814
S1-27029362	S2-137153245,S2-165707418,S2-296773560,S2-513982552,S2-595411337,S2-634320479,S2-7431318,S2-763449628,S2-795564883,S2-798128288,S2-818614098,S2-830712488,S2-841922869,S2-865753916,S2-887254216,S3-156686280,S3-214411929,S3-264631676,S3-688569314,S3-731733574,S3-825282082
S1-145829425	S2-597547471,S3-898064155
S1-993527714	
S1-965555167	
S1-151608539	
S1-714672596	
S1-134898809	S2-114316603,S2-130244441,S2-133335676,S2-159594984,S2-166871923,S2-206575018,S2-227443036,S2-25837556,S2-261413077,S2-340914446,S2-385103312,S2-387383273,S2-483419221,S2-489479155,S2-491667146,S2-498843470,S2-514096624,S2-52811296,S2-538762241,S2-540938494,S2-568182384,S2-573548793,S2-605743649,S2-615224475,S2-623064549,S2-628884920,S2-638944943,S2-649798962,S2-676644655,S2-689397157,S2-729178774,S2-73161094,S2-738906877,S2-740975299,S2-744873764,S2-77278822,S2-802514766,S2-803184401,S2-826339786,S2-844739727,S2-867056723,S2-882860335,S2-910935535,S2-915606611,S2-956167490,S3-101868272,S3-129957298,S3-206982972,S3-258133240,S3-259114990,S3-308256040,S3-327010495,S3-361084318,S3-370714725,S3-374913708,S3-377655553,S3-388265803,S3-408846158,S3-418290306,S3-427730771,S3-428563288,S3-457917573,S3-495782879,S3-528902337,S3-53851282,S3-551261223,S3-560080574,S3-560490427,S3-626776250,S3-627189253,S3-644852293,S3-646844649,S3-653647910,S3-669607927,S3-699841329,S3-701311109,S3-707720142,S3-739952447,S3-759108636,S3-759430163,S3-787037955,S3-797936801,S3-802781022,S3-813769182,S3-861308790,S3-867012587,S3-892209487,S3-935099733,S3-945636199,S3-966467003,S3-972448148
S1-500841209	
S1-855787505	
S1-277072715	S2-446328301,S2-9236175,S3-648220631,S3-685866787,S3-968286433
S1-269656551	
S1-356020591	
S1-627144525	S2-315417107,S2-648023518,S2-741755112,S3-137991178,S3-439699694,S3-589774462
S1-514155563	S2-110840910,S2-113883487,S2-127868998,S2-152950850,S2-161883576,S2-169480237,S2-189202002,S2-222910306,S2-223661524,S2-23728616,S2-252130764,S2-25624540,S2-262584992,S2-268605309,S2-268971855,S2-290161185,S2-300720438,S2-304930221,S2-307662957,S2-310362858,S2-314802558,S2-349232715,S2-356135990,S2-35818144,S2-361545182,S2-365096757,S2-371647827,S2-37384053,S2-378857874,S2-38696758,S2-389471000,S2-413093227,S2-425417786,S2-430530857,S2-43275453,S2-459806358,S2-468315976,S2-484577606,S2-537837655,S2-538812525,S2-541004230,S2-556405995,S2-557966972,S2-558908766,S2-56606831,S2-57476874,S2-575654513,S2-588208799,S2-589570940,S2-59233011,S2-627077990,S2-632311719,S2-649927087,S2-668189279,S2-677907136,S2-696312862,S2-708749688,S2-716244974,S2-723214357,S2-730362318,S2-73503458,S2-744091930,S2-744976354,S2-74724236,S2-751874107,S2-752079811,S2-758392845,S2-761557906,S2-782630820,S2-798926895,S2-822726122,S2-825044729,S2-835982254,S2-839771912,S2-840596005,S2-85200192,S2-860988596,S2-879695630,S2-883721098,S2-892848561,S2-893216859,S2-896458432,S2-899767421,S2-906223353,S2-914609665,S2-915986620,S2-916345423,S2-929708969,S2-93128222,S2-941421676,S2-942093885,S2-94534949,S2-947518937,S2-955895802,S2-961604507,S2-967137595,S2-980895130,S2-998199484,S3-100182470,S3-10889589,S3-113691160,S3-115328607,S3-122049832,S3-131425131,S3-133126560,S3-141809034,S3-150945400,S3-152255866,S3-165258327,S3-189175782,S3-214039211,S3-224417409,S3-229519117,S3-231948931,S3-238444775,S3-251727097,S3-257710477,S3-266400063,S3-284714096,S3-337845736,S3-339238808,S3-350836296,S3-354287361,S3-374983573,S3-396164639,S3-414413999,S3-436296085,S3-436976111,S3-478840633,S3-488868527,S3-489351465,S3-490303221,S3-493933645,S3-511293810,S3-513926363,S3-538368782,S3-53911281,S3-547015682,S3-54908638,S3-555286550,S3-557764099,S3-568581350,S3-570259660,S3-575423569,S3-595492997,S3-596923297,S3-597367705,S3-609680651,S3-614751476,S3-615342870,S3-61916122,S3-623840442,S3-632359058,S3-642673563,S3-646715438,S3-6639846,S3-67290876,S3-680618024,S3-68427376,S3-69677920,S3-705859378,S3-706253801,S3-707591728,S3-709028500,S3-732834874,S3-752137533,S3-765387959,S3-789319566,S3-795413914,S3-801355401,S3-812140899,S3-816479985,S3-827454006,S3-831053493,S3-838921805,S3-844278111,S3-854430648,S3-878246823,S3-885348069,S3-889212215,S3-889834462,S3-916263302,S3-92033442,S3-931959110,S3-972495165,S3-990110387
S1-942221484	S2-575424170
S1-966462381	
S1-681392030	
S1-492467148	S2-207135650,S2-368448781,S2-407011516,S2-432259596,S2-435579386,S2-460397909,S2-520687414,S2-550762002,S2-579622684,S2-612586077,S2-670780310,S2-706649847,S2-748576053,S2-75141004,S2-762407749,S3-178421278,S3-17955028,S3-180714934,S3-185927583,S3-199092231,S3-213205133,S3-226928049,S3-371017556,S3-402161459,S3-40668158,S3-500200008,S3-721528304,S3-759575932,S3-81209200,S3-86474249,S3-86476324,S3-994794351
S1-791867209	S3-698772725
S1-951599976	S2-227003925
S1-315450523	
S1-666876590	S3-644650299,S3-991776952
S1-913301865	S2-871917871
S1-216181354	S2-28294847,S2-393523895,S2-498484682,S3-136614265,S3-22116727,S3-393819785,S3-540528800
S1-454111437	
S1-960158214	S3-414038428
S1-743171772	
S1-965549055	
S1-947119891	S2-167666915,S2-200370929,S2-243138095,S2-267054443,S2-302848360,S2-441230802,S2-456744133,S2-518874157,S2-537685106,S2-55088977,S2-610474397,S2-657688704,S2-710754694,S2-809174069,S2-834208402,S2-869699473,S2-888964719,S2-917773025,S2-928987636,S3-183770877,S3-220315707,S3-354537600,S3-368240515,S3-445850748,S3-486347594,S3-52199758,S3-526732434,S3-580639329,S3-596406831,S3-601906987,S3-608000041,S3-651834329,S3-688978528,S3-721567733,S3-743922937,S3-807530245,S3-821310496,S3-890841938,S3-945596136,S3-962778560
S1-511561869	S3-223470686,S3-526947744
S1-302710833	
S1-888660595	
S1-684656443	
S1-279914306	
S1-294547159	S2-285581762
S1-208973592	S3-135578226
S1-859252896	S2-13064343,S2-172805619,S2-178954206,S2-258055913,S2-317041456,S2-366086215,S2-466258036,S2-633875936,S2-676898173,S2-761626299,S2-866489300,S2-891161638,S2-90290991,S2-91871546,S3-104210865,S3-128015738,S3-205773445,S3-285014928,S3-408594982,S3-503155404,S3-558412122,S3-61177147,S3-627434514,S3-658126375,S3-677449856,S3-692392542,S3-747015098,S3-752712134,S3-780772750,S3-799531551,S3-82902231,S3-835109371,S3-9029584,S3-909537484,S3-921400032
S1-630223771	
S1-223600564	
S1-72918323	S2-12325608
S1-754175313	S3-215302754,S3-412701641,S3-657717843,S3-675498226
S1-970518712	S3-849723066
S1-366329737	S2-435833022,S2-594418258,S3-470752578,S3-845296458
S1-708796012	S2-214685818,S2-236597059,S2-258671482,S2-260948862,S2-269847114,S2-272944843,S2-274041894,S2-28055141,S2-445209588,S2-45330682,S2-59575398,S2-685474908,S2-738815187,S2-795964761,S2-85405007,S3-269228373,S3-276221542,S3-313072985,S3-506283305,S3-59735614,S3-77835735,S3-845451152,S3-848116607,S3-87840904,S3-926585461,S3-946000116,S3-986672681
S1-935703127	
S1-981414798	
S1-424529930	
S1-912508322	S2-265073681,S2-334957677,S2-361992349,S2-749136639
S1-846028981	S2-452477418,S3-277196848,S3-363878709
S1-318218643	
S1-970972284	
S1-435587816	S2-647226257,S3-361957744
S1-544301808	
S1-20267366	
S1-379918793	
S1-106221717	
S1-800482427	
S1-846529766	
S1-761874846	S3-527332992
S1-703200453	
S1-746273151	S2-107901499,S2-217368020,S2-250055144,S2-284175478,S2-297719005,S2-303934519,S2-304691831,S2-347286821,S2-358448235,S2-401446585,S2-434641827,S2-442680677,S2-446227464,S2-446562723,S2-513871100,S2-530060423,S2-580677442,S2-597044715,S2-597770411,S2-599051211,S2-675574608,S2-757494135,S2-769594899,S2-82443434,S2-904109958,S2-960631738,S2-982096799,S3-106387905,S3-177440435,S3-295565846,S3-305943421,S3-314351492,S3-319429376,S3-344685449,S3-376277282,S3-413240493,S3-491459679,S3-519770438,S3-538882911,S3-540465132,S3-594658624,S3-596022174,S3-63069888,S3-940338676,S3-993951661
S1-432962984	
S1-500552277	S3-523390882
S1-446787657	
S1-505869859	
S1-862092661	
S1-53323215	S2-319436550,S3-331121070,S3-498196171
S1-814475089	S2-150659635,S2-254060940,S2-366448075,S2-479189206,S2-580694223,S2-909354295,S2-919612368,S2-995135854,S3-275119176,S3-380625034,S3-44222917,S3-682313689
S1-451077707	
S1-448166395	S3-718780514,S3-886088195
S1-940115232	S2-492128678
S1-472232440	S2-344700160
S1-800915873	S2-12305520,S2-592882465
S1-21084577	S2-17293223,S2-19452549,S2-205084855,S2-214097925,S2-25683508,S2-291017093,S2-308561404,S2-310115593,S2-324847762,S2-369967914,S2-405897672,S2-462588920,S2-573284677,S2-591773842,S2-608036071,S2-614423545,S2-626174000,S2-630936633,S2-636011564,S2-706178459,S2-727196100,S2-747770644,S2-777884720,S2-783580230,S2-828562319,S2-839487085,S2-928773022,S2-965354709,S2-972423321,S2-980614727,S2-981514341,S2-997578786,S3-298147240,S3-33751425,S3-583793148,S3-589472315,S3-620662381,S3-644511948,S3-804642211,S3-810143324,S3-813586509,S3-955698416,S3-961512475,S3-987989164
S1-978421811	S2-702081404,S2-909888329,S3-111344397,S3-363680846,S3-37392290,S3-537541650,S3-667753587
S1-19400879	
S1-332410345	
S1-617455147	S2-111609449,S3-703899780
S1-477458226	
S1-173971969	S2-731469308,S3-34303273
S1-907635568	S2-50264131
S1-374959431	
S1-596450212	
S1-464797359	
S1-804300777	S3-157909704,S3-285573517,S3-335113719,S3-65482005
S1-305440895	
S1-145606139	
S1-368348061	
S1-46716098	
S1-557464657	S3-518867502
S1-8092452	S2-16164654,S2-180932287,S2-232887430,S2-238661101,S2-249390963,S2-291568612,S2-298827913,S2-299454745,S2-302862855,S2-317055037,S2-35803604,S2-378727974,S2-410910377,S2-440273361,S2-469194827,S2-488068789,S2-522322165,S2-530535271,S2-598413510,S2-619051705,S2-630841213,S2-631734171,S2-674979810,S2-675332101,S2-691736363,S2-73060718,S2-744523041,S2-749728236,S2-765879909,S2-835328997,S2-856131228,S2-884728231,S2-885754096,S2-944920261,S2-982254232,S3-1535680,S3-174379049,S3-18034944,S3-220843649,S3-233273012,S3-275737551,S3-309534051,S3-379618265,S3-407609131,S3-438960454,S3-517290487,S3-544126908,S3-551271002,S3-571489427,S3-639154380,S3-683699391,S3-777992779,S3-833550735,S3-866842037,S3-867423562,S3-868304724,S3-877903372,S3-90049477,S3-958259976,S3-975935310,S3-993266133
S1-216511119	S2-112749459,S2-607163022,S2-764771933,S2-77646444,S2-974834098,S3-234039030,S3-4267011,S3-717644047,S3-797877402,S3-814290926
S1-499302167	S2-177158630,S2-342862389,S2-482329388,S2-612761952,S2-944834349,S2-983740974,S3-105406585,S3-291078322,S3-329698565,S3-383843248,S3-518112400,S3-549627851,S3-554163052,S3-920805923
S1-56985694	S2-321804610,S3-531690508
S1-417526535	
S1-382435344	
S1-927651996	S2-59732064,S3-9407590
S1-613598143	
S1-6232617	
S1-491925427	S2-51368211
S1-378164861	
S1-622231151	
S1-639096068	S3-150643293
S1-269039848	S2-196023875,S2-422114847,S2-431585964,S2-509794144,S2-566921547,S2-673264114,S2-724251568,S2-855750515,S2-95364284,S3-115952072,S3-213045468,S3-320318691,S3-353063450,S3-43884575,S3-458340894,S3-470209115,S3-532851394,S3-59273248,S3-710324479
S1-408835967	S2-465211496,S3-654272727,S3-690829356
S1-111673633	S2-213964386,S2-279776099,S2-547379716,S2-585619856,S2-729573873,S3-18576866,S3-256284195,S3-303734548,S3-432187443,S3-628238969,S3-766800867,S3-964402049
S1-460845609	
S1-17506850	S2-429857278,S3-763774449
S1-68201540	S2-289059559
S1-831843558	
S1-63266922	
S1-304785953	S3-924252420
S1-740254254	S2-855309230,S2-96772358,S3-445916852
S1-836203525	S2-704413668,S3-938277822
S1-465739288	S2-586371985
S1-111065528	
S1-545601093	S3-781450721
S1-988516196	S2-100583077,S2-100806700,S2-189922548,S2-247376744,S2-280555480,S2-325259788,S2-41540120,S2-425716835,S2-445786670,S2-449441025,S2-452914600,S2-463874167,S2-57301738,S2-582691598,S2-594771834,S2-600026100,S2-604842009,S2-615207591,S2-620099755,S2-680840258,S2-720380636,S2-778231614,S2-788963981,S2-857395982,S2-91976297,S2-964244751,S2-979182867,S3-124645767,S3-137950000,S3-188386168,S3-194493515,S3-203998689,S3-20622684,S3-246571656,S3-271409577,S3-349951210,S3-357962973,S3-43207022,S3-441845754,S3-45345410,S3-491238068,S3-500691182,S3-544227223,S3-561124433,S3-590043146,S3-594065084,S3-606365901,S3-686710129,S3-727270259,S3-792196115,S3-799022278,S3-811254037,S3-811859231,S3-827185024,S3-867879765,S3-918525145,S3-941425072,S3-946634620
S1-612217752	S2-252517547,S3-268792491
S1-846542666	S2-920690398,S2-93290803,S3-682021652
S1-419483044	S2-828973635,S2-834046092,S3-120588781
S1-787617931	
S1-535605149	S2-385997449,S3-592161866
S1-848219519	
S1-899782554	
S1-498738124	S2-114695852,S2-127743636,S2-128366430,S2-13335367,S2-171487854,S2-178225047,S2-178913417,S2-215939259,S2-248118202,S2-248629624,S2-259631275,S2-281684529,S2-287244480,S2-294841191,S2-295030561,S2-310617940,S2-315121365,S2-31948478,S2-3234481,S2-334092159,S2-334284438,S2-34565630,S2-3527970,S2-362879802,S2-370788130,S2-372446484,S2-375008624,S2-380155329,S2-39653839,S2-401258002,S2-407175475,S2-416446252,S2-427712668,S2-471819907,S2-483802250,S2-493833746,S2-508125595,S2-519763003,S2-535766525,S2-56620557,S2-589512251,S2-595127169,S2-598411499,S2-610728958,S2-640609687,S2-66978796,S2-730215369,S2-737105356,S2-748584644,S2-780300313,S2-837152650,S2-841662083,S2-844729902,S2-883862098,S2-906092546,S2-91578578,S2-918614707,S2-932518810,S2-950414973,S2-964661570,S2-973178250,S3-133393393,S3-144629843,S3-156909394,S3-167990024,S3-174825885,S3-180831736,S3-203620398,S3-233021628,S3-264459600,S3-286620619,S3-288429636,S3-313846413,S3-335808578,S3-343635330,S3-347887798,S3-349865145,S3-360966077,S3-365008768,S3-429295161,S3-438160582,S3-472137030,S3-477679302,S3-50905044,S3-512121671,S3-513757853,S3-51455087,S3-536365169,S3-545469826,S3-565564706,S3-594132603,S3-600581091,S3-600836290,S3-614405295,S3-617276369,S3-66297285,S3-692955082,S3-702765365,S3-706703381,S3-708607206,S3-714195523,S3-728638303,S3-72930779,S3-75470185,S3-769313620,S3-78722854,S3-802645132,S3-806008010,S3-806982802,S3-820170210,S3-826133222,S3-832582334,S3-851046645,S3-89650130,S3-905877569,S3-925429948,S3-933558717,S3-963753844,S3-973059912,S3-974705603,S3-989018228,S3-989689688,S3-990317144
